Date,Price,Interest_Rate,Inflation,GDP_Growth,VIX,DXY
2021-03-03,119.4040527,1.47,2.623645747764214,4.276282527839981,26.67,90.94999694824219
2021-03-04,117.5160522,1.54,2.623645747764214,4.276282527839981,28.57,91.62999725341797
2021-03-05,118.777977,1.56,2.623645747764214,4.276282527839981,24.66,91.9800033569336
2021-03-08,113.8280945,1.59,2.623645747764214,4.276282527839981,25.47,92.30999755859375
2021-03-09,118.4551544,1.55,2.623645747764214,4.276282527839981,24.03,91.95999908447266
2021-03-10,117.3693085,1.53,2.623645747764214,4.276282527839981,22.56,91.79000091552734
2021-03-11,119.306221,1.54,2.623645747764214,4.276282527839981,21.91,91.41999816894531
2021-03-12,118.3964767,1.64,2.623645747764214,4.276282527839981,20.69,91.68000030517578
2021-03-15,121.2920532,1.62,2.623645747764214,4.276282527839981,20.03,91.83000183105469
2021-03-16,122.8376923,1.62,2.623645747764214,4.276282527839981,19.79,91.87000274658203
2021-03-17,122.045311,1.63,2.623645747764214,4.276282527839981,19.23,91.4000015258789
2021-03-18,117.9073334,1.71,2.623645747764214,4.276282527839981,21.58,91.8499984741211
2021-03-19,117.3791122,1.74,2.623645747764214,4.276282527839981,20.95,91.91999816894531
2021-03-22,120.7051239,1.69,2.623645747764214,4.276282527839981,18.88,91.80000305175781
2021-03-23,119.8736115,1.63,2.623645747764214,4.276282527839981,20.3,92.33999633789062
2021-03-24,117.4769058,1.62,2.623645747764214,4.276282527839981,21.2,92.52999877929688
2021-03-25,117.9660339,1.63,2.623645747764214,4.276282527839981,19.81,92.87999725341797
2021-03-26,118.5725555,1.67,2.623645747764214,4.276282527839981,18.86,92.7699966430664
2021-03-29,118.748642,1.73,2.623645747764214,4.276282527839981,20.74,92.94000244140625
2021-03-30,117.2910461,1.73,2.623645747764214,4.276282527839981,19.61,93.30000305175781
2021-03-31,119.4921036,1.74,2.623645747764214,4.276282527839981,19.4,93.2300033569336
2021-04-01,120.3236008,1.69,4.137373453318349,17.22267635473782,17.33,92.93000030517578
2021-04-05,123.1604996,1.73,4.137373453318349,17.22267635473782,17.91,92.5999984741211
2021-04-06,123.4637451,1.67,4.137373453318349,17.22267635473782,18.12,92.33999633789062
2021-04-07,125.1169891,1.68,4.137373453318349,17.22267635473782,17.16,92.45999908447266
2021-04-08,127.5234299,1.64,4.137373453318349,17.22267635473782,16.95,92.05999755859375
2021-04-09,130.1059875,1.67,4.137373453318349,17.22267635473782,16.69,92.16000366210938
2021-04-12,128.3843231,1.69,4.137373453318349,17.22267635473782,16.91,92.13999938964844
2021-04-13,131.5048981,1.64,4.137373453318349,17.22267635473782,16.65,91.8499984741211
